id,Age,Gender,Edu,Employment,Income,Group,Producttype,Ideal_1,Ideal_2,Idealscore,Prefer1,Luxcheck
2,34,0,7,1,3,2,1,5,5,5,7,2
7,30,1,7,1,4,2,1,2,3,2.5,1,2
16,47,0,7,2,2,2,1,6,6,6,1,4
17,35,1,5,1,5,2,1,2,4,3,1,5
30,20,0,5,2,6,2,1,3,5,4,2,3
31,24,0,8,1,5,2,1,3,6,4.5,5,2
35,51,0,8,1,5,2,1,5,7,6,2,2
41,42,0,7,2,4,2,1,5,6,5.5,5,1
42,23,0,7,1,3,2,1,1,1,1,2,3
44,58,1,5,1,4,2,1,5,5,5,1,3
48,57,1,6,1,2,2,1,5,5,5,1,3
50,32,1,7,6,2,2,1,6,5,5.5,1,4
53,45,1,5,2,4,2,1,2,2,2,1,3
54,37,0,7,1,3,2,1,7,7,7,1,7
57,40,0,7,1,6,2,1,6,6,6,2,6
61,46,1,8,1,6,2,1,7,5,6,1,4
69,24,0,7,1,3,2,1,7,5,6,1,1
74,26,0,6,1,3,2,1,5,6,5.5,1,3
78,42,0,8,2,4,2,1,3,3,3,1,6
84,24,0,6,3,1,2,1,7,7,7,5,4
86,24,1,7,2,1,2,1,5,5,5,1,1
87,44,0,8,1,6,2,1,2,3,2.5,4,2
89,22,1,6,2,1,2,1,7,7,7,1,3
93,43,0,6,1,3,2,1,4,3,3.5,2,1
95,34,1,7,1,3,2,1,4,4,4,1,4
102,40,1,7,2,2,2,1,7,7,7,5,4
113,20,0,5,1,5,2,1,7,7,7,1,2
119,28,3,9,3,1,2,1,6,6,6,3,5
121,44,1,6,2,1,2,1,6,6,6,3,3
124,21,0,6,3,4,2,1,5,5,5,1,3
127,19,0,4,5,5,2,1,7,6,6.5,3,1
128,27,0,7,1,4,2,1,6,6,6,1,5
4,26,1,8,1,6,2,2,6,6,6,7,6
13,28,1,7,1,4,2,2,4,4,4,3,4
29,30,0,7,1,4,2,2,4,5,4.5,4,4
32,29,1,8,1,4,2,2,7,6,6.5,5,4
36,39,1,7,1,4,2,2,3,6,4.5,5,7
43,18,0,6,5,4,2,2,5,4,4.5,5,6
